Molecule : 4G1M
Nb of atoms : 89114
Nb of clusters : 8
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 9799 | (-0012.38 +0018.85 -0000.33) | 010.9960% |
| Cluster 0001 | 21078 | (+0008.73 +0021.86 +0006.46) | 023.6528% |
| Cluster 0002 | 4205 | (-0013.26 +0008.27 +0003.66) | 004.7187% |
| Cluster 0003 | 8210 | (-0014.31 +0015.06 +0018.97) | 009.2129% |
| Cluster 0004 | 0726 | (-0014.61 +0022.04 +0009.09) | 000.8147% |
| Cluster 0005 | 3007 | (-0002.93 +0023.86 +0013.06) | 003.3743% |
| Cluster 0006 | 18425 | (+0003.47 +0011.83 +0013.39) | 020.6758% |
| Cluster 0007 | 23664 | (-0005.89 +0011.90 +0031.31) | 026.5548% |
