Molecule : 4G1M
Nb of atoms : 119226
Nb of clusters : 8
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 15827 | (-0011.34 +0018.75 -0000.20) | 013.2748% |
| Cluster 0001 | 13393 | (-0014.28 +0015.55 +0015.80) | 011.2333% |
| Cluster 0002 | 24873 | (+0007.12 +0021.99 +0006.24) | 020.8621% |
| Cluster 0003 | 12778 | (-0007.66 +0008.58 +0004.91) | 010.7175% |
| Cluster 0004 | 7678 | (-0004.52 +0021.23 +0013.33) | 006.4399% |
| Cluster 0005 | 11751 | (+0008.51 +0010.71 +0015.01) | 009.8561% |
| Cluster 0006 | 32785 | (-0006.47 +0011.32 +0029.39) | 027.4982% |
| Cluster 0007 | 0141 | (-0004.29 +0001.89 +0032.98) | 000.1183% |
