Molecule : 3VI3
Nb of atoms : 84971
Nb of clusters : 13
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 14673 | (+0011.06 +0004.98 -0010.44) | 017.2682% |
| Cluster 0001 | 3327 | (-0001.59 -0003.36 -0007.33) | 003.9155% |
| Cluster 0002 | 8772 | (+0011.19 +0006.07 -0004.48) | 010.3235% |
| Cluster 0003 | 4728 | (-0004.26 +0001.66 -0004.54) | 005.5643% |
| Cluster 0004 | 8416 | (+0003.16 +0001.38 +0001.52) | 009.9046% |
| Cluster 0005 | 0877 | (-0007.84 -0002.43 +0000.38) | 001.0321% |
| Cluster 0006 | 4207 | (+0014.37 +0016.56 +0003.09) | 004.9511% |
| Cluster 0007 | 6930 | (+0012.71 +0018.14 +0005.26) | 008.1557% |
| Cluster 0008 | 2023 | (+0003.31 -0000.03 +0005.11) | 002.3808% |
| Cluster 0009 | 5527 | (-0000.07 -0000.63 +0008.36) | 006.5046% |
| Cluster 0010 | 8020 | (+0012.44 +0017.24 +0008.37) | 009.4385% |
| Cluster 0011 | 8478 | (+0001.48 +0005.78 +0010.98) | 009.9775% |
| Cluster 0012 | 8993 | (+0011.06 +0014.49 +0011.72) | 010.5836% |
