Molecule : 3VI4
Nb of atoms : 86056
Nb of clusters : 8
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 23602 | (+0013.42 +0013.04 -0010.87) | 027.4263% |
| Cluster 0001 | 16168 | (+0000.18 +0000.72 -0004.82) | 018.7878% |
| Cluster 0002 | 0033 | (+0006.47 -0011.79 -0006.05) | 000.0383% |
| Cluster 0003 | 1423 | (-0008.38 +0001.86 +0000.83) | 001.6536% |
| Cluster 0004 | 9349 | (-0001.86 -0002.80 +0009.33) | 010.8639% |
| Cluster 0005 | 12276 | (+0004.04 +0009.44 +0008.03) | 014.2651% |
| Cluster 0006 | 23204 | (+0013.83 +0017.76 +0007.19) | 026.9638% |
| Cluster 0007 | 0001 | (+0007.12 -0000.55 +0003.40) | 000.0012% |
