Molecule : 3VI4
Nb of atoms : 109792
Nb of clusters : 20
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 9694 | (+0004.50 -0001.69 -0000.17) | 008.8294% |
| Cluster 0001 | 3748 | (+0010.74 +0007.64 -0000.17) | 003.4137% |
| Cluster 0002 | 0058 | (-0005.11 -0016.45 -0000.16) | 000.0528% |
| Cluster 0003 | 15102 | (+0007.79 +0002.08 -0000.11) | 013.7551% |
| Cluster 0004 | 0051 | (-0004.94 -0015.96 -0000.12) | 000.0465% |
| Cluster 0005 | 0584 | (-0004.16 +0004.53 -0000.11) | 000.5319% |
| Cluster 0006 | 20263 | (+0007.16 +0000.81 -0000.08) | 018.4558% |
| Cluster 0007 | 10005 | (+0011.02 +0001.61 -0000.06) | 009.1127% |
| Cluster 0008 | 3495 | (-0000.17 +0000.96 -0000.06) | 003.1833% |
| Cluster 0009 | 5429 | (+0017.97 +0006.71 -0000.04) | 004.9448% |
| Cluster 0010 | 7053 | (+0003.38 +0001.35 -0000.04) | 006.4240% |
| Cluster 0011 | 0053 | (-0009.49 +0002.69 -0000.05) | 000.0483% |
| Cluster 0012 | 2381 | (+0005.09 -0008.35 -0000.03) | 002.1686% |
| Cluster 0013 | 11020 | (+0011.84 +0004.39 -0000.02) | 010.0372% |
| Cluster 0014 | 1032 | (-0002.89 -0001.59 -0000.03) | 000.9400% |
| Cluster 0015 | 0032 | (-0006.32 -0015.84 -0000.01) | 000.0291% |
| Cluster 0016 | 8941 | (+0006.00 +0000.13 +0000.01) | 008.1436% |
| Cluster 0017 | 9059 | (+0014.33 +0005.85 -0000.00) | 008.2511% |
| Cluster 0018 | 1350 | (+0001.45 +0000.24 +0000.05) | 001.2296% |
| Cluster 0019 | 0442 | (+0017.21 +0003.01 +0000.05) | 000.4026% |
