Molecule : 3VI3
Nb of atoms : 67431
Nb of clusters : 13
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 3283 | (+0009.78 -0003.19 -0014.76) | 004.8687% |
| Cluster 0001 | 10971 | (+0014.11 +0007.78 -0007.26) | 016.2700% |
| Cluster 0002 | 3746 | (-0003.86 -0002.73 -0006.05) | 005.5553% |
| Cluster 0003 | 7099 | (+0005.30 -0000.70 -0000.61) | 010.5278% |
| Cluster 0004 | 0748 | (+0011.72 +0014.44 -0003.85) | 001.1093% |
| Cluster 0005 | 5545 | (-0004.99 +0007.68 -0000.19) | 008.2232% |
| Cluster 0006 | 9232 | (+0011.77 +0017.77 +0005.79) | 013.6910% |
| Cluster 0007 | 3418 | (+0002.36 +0005.00 +0004.91) | 005.0689% |
| Cluster 0008 | 0316 | (-0007.05 -0008.04 +0005.16) | 000.4686% |
| Cluster 0009 | 3553 | (-0001.88 -0004.60 +0007.99) | 005.2691% |
| Cluster 0010 | 8785 | (+0013.49 +0016.95 +0008.62) | 013.0281% |
| Cluster 0011 | 9528 | (+0003.01 +0008.77 +0010.96) | 014.1300% |
| Cluster 0012 | 1207 | (+0016.85 +0017.63 +0010.73) | 001.7900% |
