Molecule : 3VI3
Nb of atoms : 58633
Nb of clusters : 14
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 10464 | (+0010.01 +0002.70 -0009.42) | 017.8466% |
| Cluster 0001 | 4010 | (+0014.66 +0010.33 -0007.68) | 006.8392% |
| Cluster 0002 | 0132 | (+0001.59 -0012.09 -0009.45) | 000.2251% |
| Cluster 0003 | 3394 | (-0001.16 -0000.31 -0005.97) | 005.7885% |
| Cluster 0004 | 9406 | (+0001.99 +0002.17 +0000.25) | 016.0422% |
| Cluster 0005 | 7798 | (+0012.67 +0017.37 +0004.79) | 013.2997% |
| Cluster 0006 | 0126 | (-0005.17 -0008.99 +0006.11) | 000.2149% |
| Cluster 0007 | 4153 | (+0001.96 +0003.00 +0007.73) | 007.0830% |
| Cluster 0008 | 0183 | (+0015.98 +0009.31 +0005.53) | 000.3121% |
| Cluster 0009 | 4737 | (+0013.92 +0019.61 +0007.93) | 008.0791% |
| Cluster 0010 | 1358 | (-0001.84 -0004.77 +0008.93) | 002.3161% |
| Cluster 0011 | 8631 | (+0004.16 +0008.80 +0010.89) | 014.7204% |
| Cluster 0012 | 4134 | (+0015.01 +0017.64 +0009.70) | 007.0506% |
| Cluster 0013 | 0107 | (+0014.72 +0016.81 +0013.55) | 000.1825% |
