Molecule 3VI3 :
Nb of atoms : 58633
Nb of clusters : 131
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0072 | 0207 | (+0011.26 +0006.72 -0040.26) | 000.3530% |
| Cluster 0073 | 0034 | (+0041.60 +0013.54 -0027.87) | 000.0580% |
| Cluster 0074 | 0002 | (+0017.74 +0036.37 -0010.89) | 000.0034% |
| Cluster 0075 | 0018 | (+0009.96 +0033.69 +0011.87) | 000.0307% |
| Cluster 0076 | 0024 | (+0007.30 +0013.49 -0032.61) | 000.0409% |
| Cluster 0077 | 0005 | (+0011.35 +0016.11 -0038.27) | 000.0085% |
| Cluster 0078 | 0041 | (+0038.18 +0031.91 +0010.25) | 000.0699% |
| Cluster 0079 | 0458 | (-0004.94 +0007.57 +0028.51) | 000.7811% |
| Cluster 0080 | 0713 | (-0000.49 +0027.69 +0028.32) | 001.2160% |
| Cluster 0081 | 0894 | (+0019.73 -0011.56 -0040.20) | 001.5247% |
| Cluster 0082 | 0198 | (+0028.10 +0000.63 -0044.22) | 000.3377% |
| Cluster 0083 | 0001 | (+0020.38 +0002.65 -0046.14) | 000.0017% |
| Cluster 0084 | 0057 | (+0026.34 -0013.90 -0046.56) | 000.0972% |
| Cluster 0085 | 0045 | (+0043.20 +0036.54 -0011.96) | 000.0767% |
| Cluster 0086 | 0015 | (+0042.81 +0032.11 +0023.89) | 000.0256% |
| Cluster 0087 | 0002 | (+0040.26 +0058.23 +0010.24) | 000.0034% |
| Cluster 0088 | 0024 | (-0000.88 -0021.87 +0017.02) | 000.0409% |
| Cluster 0089 | 0223 | (-0018.70 -0015.16 +0021.42) | 000.3803% |
| Cluster 0090 | 0018 | (+0004.20 +0009.43 -0015.66) | 000.0307% |
| Cluster 0091 | 0028 | (+0019.72 -0024.65 -0038.44) | 000.0478% |
| Cluster 0092 | 0216 | (+0000.04 -0023.66 -0037.86) | 000.3684% |
| Cluster 0093 | 0103 | (+0001.93 -0026.05 -0007.71) | 000.1757% |
| Cluster 0094 | 0006 | (+0033.31 -0007.48 -0045.66) | 000.0102% |
