Molecule 3VI4 :
Nb of atoms : 59347
Nb of clusters : 130
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0072 | 0061 | (-0009.15 +0028.29 +0003.59) | 000.1028% |
| Cluster 0073 | 0021 | (+0038.97 +0052.35 +0009.27) | 000.0354% |
| Cluster 0074 | 0027 | (+0035.12 +0054.71 +0031.99) | 000.0455% |
| Cluster 0075 | 0022 | (+0017.28 +0007.00 +0002.23) | 000.0371% |
| Cluster 0076 | 0011 | (+0008.46 -0006.34 -0006.79) | 000.0185% |
| Cluster 0077 | 0009 | (+0027.14 +0002.14 -0014.34) | 000.0152% |
| Cluster 0078 | 0549 | (+0017.78 -0011.84 -0039.53) | 000.9251% |
| Cluster 0079 | 0179 | (+0018.55 -0026.72 -0037.35) | 000.3016% |
| Cluster 0080 | 0015 | (+0029.90 -0011.83 -0031.63) | 000.0253% |
| Cluster 0081 | 0051 | (+0015.94 -0012.18 +0011.11) | 000.0859% |
| Cluster 0082 | 0001 | (+0031.85 +0021.73 -0029.12) | 000.0017% |
| Cluster 0083 | 0028 | (+0020.18 +0014.76 -0038.96) | 000.0472% |
| Cluster 0084 | 0041 | (+0030.14 +0008.66 -0035.90) | 000.0691% |
| Cluster 0085 | 0686 | (-0005.83 +0007.04 +0029.53) | 001.1559% |
| Cluster 0086 | 0160 | (+0005.19 +0027.07 +0033.06) | 000.2696% |
| Cluster 0087 | 0085 | (-0015.18 +0005.58 +0026.98) | 000.1432% |
| Cluster 0088 | 0051 | (+0005.51 +0011.42 +0029.63) | 000.0859% |
| Cluster 0089 | 0102 | (-0010.76 -0008.05 +0027.49) | 000.1719% |
| Cluster 0090 | 0178 | (+0017.34 +0038.67 +0031.81) | 000.2999% |
| Cluster 0091 | 0430 | (-0002.68 -0032.63 -0018.53) | 000.7246% |
| Cluster 0092 | 0017 | (+0002.59 -0025.23 -0007.15) | 000.0286% |
| Cluster 0093 | 0003 | (-0003.28 -0007.75 +0004.26) | 000.0051% |
| Cluster 0094 | 0030 | (+0029.04 +0038.61 -0007.61) | 000.0506% |
| Cluster 0095 | 0103 | (+0030.41 +0053.05 -0018.41) | 000.1736% |
| Cluster 0096 | 0012 | (+0042.33 +0025.82 -0010.95) | 000.0202% |
| Cluster 0097 | 0217 | (-0015.05 -0029.85 -0015.26) | 000.3656% |
| Cluster 0098 | 0169 | (-0011.28 -0020.03 -0015.88) | 000.2848% |
| Cluster 0099 | 0030 | (-0019.04 -0033.10 +0004.28) | 000.0506% |
| Cluster 0100 | 0017 | (-0008.51 -0032.28 -0025.14) | 000.0286% |
| Cluster 0101 | 0232 | (-0020.87 -0012.98 +0024.24) | 000.3909% |
| Cluster 0102 | 0050 | (-0018.47 -0004.05 +0030.29) | 000.0843% |
| Cluster 0103 | 0035 | (+0002.96 -0012.59 +0023.05) | 000.0590% |
| Cluster 0104 | 0022 | (+0040.31 -0000.91 -0024.53) | 000.0371% |
| Cluster 0105 | 0002 | (+0028.03 +0041.38 -0010.14) | 000.0034% |
| Cluster 0106 | 0020 | (+0028.28 +0046.47 +0009.46) | 000.0337% |
| Cluster 0107 | 0025 | (+0034.58 +0023.57 -0008.62) | 000.0421% |
| Cluster 0108 | 0037 | (+0002.57 +0025.29 +0015.81) | 000.0623% |
| Cluster 0109 | 0011 | (-0011.61 +0014.09 +0008.53) | 000.0185% |
| Cluster 0110 | 0028 | (+0004.14 +0013.20 +0031.46) | 000.0472% |
| Cluster 0111 | 0036 | (+0002.31 +0023.12 +0000.92) | 000.0607% |
| Cluster 0112 | 0021 | (+0000.38 +0034.16 +0030.64) | 000.0354% |
| Cluster 0113 | 0001 | (+0039.06 +0032.33 -0011.16) | 000.0017% |
| Cluster 0114 | 0052 | (+0019.90 +0026.09 +0012.87) | 000.0876% |
| Cluster 0115 | 0007 | (+0048.45 +0048.01 +0033.95) | 000.0118% |
| Cluster 0116 | 0028 | (+0017.83 +0044.45 +0029.26) | 000.0472% |
| Cluster 0117 | 0230 | (-0000.02 -0023.81 -0038.71) | 000.3876% |
| Cluster 0118 | 0027 | (-0001.63 -0009.34 -0036.07) | 000.0455% |
| Cluster 0119 | 0008 | (+0005.84 -0023.78 -0045.12) | 000.0135% |
| Cluster 0120 | 0004 | (-0015.14 +0008.21 +0034.02) | 000.0067% |
| Cluster 0121 | 0006 | (-0005.32 +0015.87 +0023.48) | 000.0101% |
| Cluster 0122 | 0020 | (+0010.92 +0042.92 +0018.91) | 000.0337% |
| Cluster 0123 | 0013 | (-0022.39 +0000.60 +0020.45) | 000.0219% |
| Cluster 0124 | 0001 | (+0006.36 +0011.50 -0034.98) | 000.0017% |
| Cluster 0125 | 0020 | (+0024.15 +0021.24 -0018.89) | 000.0337% |
| Cluster 0126 | 0001 | (+0020.85 +0018.54 -0035.37) | 000.0017% |
| Cluster 0127 | 0002 | (+0032.56 +0029.67 +0008.35) | 000.0034% |
| Cluster 0128 | 0002 | (+0022.91 -0017.50 -0046.91) | 000.0034% |
| Cluster 0129 | 0006 | (+0036.94 -0001.22 -0039.82) | 000.0101% |
