Molecule : 3THC
Nb of atoms : 33250
Nb of clusters : 8
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 23652 | (+0000.78 +0003.17 +0013.20) | 071.1338% |
| Cluster 0001 | 4809 | (+0000.28 +0000.01 +0002.10) | 014.4632% |
| Cluster 0002 | 0856 | (-0004.91 +0006.36 +0017.35) | 002.5744% |
| Cluster 0003 | 0642 | (+0006.79 -0005.95 +0002.97) | 001.9308% |
| Cluster 0004 | 2244 | (-0007.34 +0013.37 +0006.40) | 006.7489% |
| Cluster 0005 | 0200 | (+0006.23 -0004.12 -0004.71) | 000.6015% |
| Cluster 0006 | 0844 | (+0005.50 +0005.94 +0002.84) | 002.5383% |
| Cluster 0007 | 0003 | (-0001.05 -0006.18 +0009.50) | 000.0090% |
