Molecule : 2FT3
Nb of atoms : 22351
Nb of clusters : 8
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 5569 | (+0007.27 +0002.67 +0035.03) | 024.9161% |
| Cluster 0001 | 14892 | (+0025.76 +0007.36 +0035.37) | 066.6279% |
| Cluster 0002 | 1510 | (+0017.37 +0002.79 +0028.13) | 006.7558% |
| Cluster 0003 | 0253 | (+0023.49 +0011.15 +0034.53) | 001.1319% |
| Cluster 0004 | 0071 | (+0017.58 +0007.09 +0026.18) | 000.3177% |
| Cluster 0005 | 0013 | (+0014.10 +0009.01 +0029.57) | 000.0582% |
| Cluster 0006 | 0001 | (+0024.92 +0000.54 +0027.67) | 000.0045% |
| Cluster 0007 | 0042 | (+0010.90 -0006.94 +0034.30) | 000.1879% |
