Molecule : 3VI4
Nb of atoms : 71320
Nb of clusters : 8
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 14768 | (+0000.03 -0007.44 -0000.12) | 020.7067% |
| Cluster 0001 | 16556 | (+0013.15 -0003.84 -0000.11) | 023.2137% |
| Cluster 0002 | 25487 | (+0016.29 +0008.38 -0000.11) | 035.7361% |
| Cluster 0003 | 12929 | (-0002.23 +0004.75 -0000.13) | 018.1282% |
| Cluster 0004 | 0150 | (-0011.99 -0006.08 -0000.11) | 000.2103% |
| Cluster 0005 | 0016 | (+0017.94 +0003.66 -0000.12) | 000.0224% |
| Cluster 0006 | 1355 | (+0006.02 +0010.16 -0000.10) | 001.8999% |
| Cluster 0007 | 0059 | (-0005.29 -0016.72 -0000.14) | 000.0827% |
