Molecule : 3VI4
Nb of atoms : 109792
Nb of clusters : 9
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 38352 | (+0002.69 -0004.13 -0000.07) | 034.9315% |
| Cluster 0001 | 9902 | (+0014.85 -0006.50 -0000.07) | 009.0189% |
| Cluster 0002 | 2870 | (-0006.42 -0012.60 -0000.07) | 002.6140% |
| Cluster 0003 | 0013 | (-0000.51 -0015.20 -0000.03) | 000.0118% |
| Cluster 0004 | 15458 | (-0001.34 +0007.92 -0000.06) | 014.0794% |
| Cluster 0005 | 41312 | (+0016.75 +0008.06 -0000.06) | 037.6275% |
| Cluster 0006 | 0691 | (-0009.10 -0000.57 -0000.08) | 000.6294% |
| Cluster 0007 | 1192 | (+0008.21 +0010.84 -0000.06) | 001.0857% |
| Cluster 0008 | 0002 | (-0013.38 -0006.45 -0000.04) | 000.0018% |
