Molecule : 3VI4
Nb of atoms : 59347
Nb of clusters : 14
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 11255 | (+0001.18 +0000.56 -0001.44) | 018.9647% |
| Cluster 0001 | 7451 | (+0012.43 +0001.72 -0009.86) | 012.5550% |
| Cluster 0002 | 7590 | (+0013.41 +0014.64 -0006.03) | 012.7892% |
| Cluster 0003 | 1796 | (+0015.67 +0011.11 +0004.90) | 003.0263% |
| Cluster 0004 | 1439 | (+0001.81 -0009.95 -0009.15) | 002.4247% |
| Cluster 0005 | 4506 | (-0001.46 -0003.72 +0007.68) | 007.5926% |
| Cluster 0006 | 0031 | (-0007.03 -0012.14 -0005.74) | 000.0522% |
| Cluster 0007 | 16412 | (+0013.14 +0018.28 +0007.77) | 027.6543% |
| Cluster 0008 | 7602 | (+0002.57 +0008.43 +0008.87) | 012.8094% |
| Cluster 0009 | 0746 | (-0007.65 +0006.52 -0000.19) | 001.2570% |
| Cluster 0010 | 0433 | (+0001.89 +0014.14 +0010.39) | 000.7296% |
| Cluster 0011 | 0004 | (+0016.30 +0009.28 +0004.72) | 000.0067% |
| Cluster 0012 | 0021 | (-0005.15 -0000.93 +0011.37) | 000.0354% |
| Cluster 0013 | 0061 | (+0009.10 -0006.06 -0016.81) | 000.1028% |
