Molecule : 3VI3
Nb of atoms : 67431
Nb of clusters : 13
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 9509 | (-0004.10 +0004.99 -0001.25) | 014.1018% |
| Cluster 0001 | 11955 | (+0013.11 +0005.82 -0007.17) | 017.7292% |
| Cluster 0002 | 1840 | (+0009.39 -0004.79 -0016.30) | 002.7287% |
| Cluster 0003 | 2659 | (+0014.70 +0013.30 -0006.90) | 003.9433% |
| Cluster 0004 | 6896 | (+0001.98 -0003.40 -0000.29) | 010.2268% |
| Cluster 0005 | 9853 | (+0001.62 +0002.49 +0008.75) | 014.6120% |
| Cluster 0006 | 17740 | (+0013.44 +0018.27 +0007.49) | 026.3084% |
| Cluster 0007 | 0003 | (+0016.64 +0021.54 +0006.11) | 000.0044% |
| Cluster 0008 | 5197 | (+0003.58 +0011.97 +0010.49) | 007.7071% |
| Cluster 0009 | 0114 | (+0005.46 -0002.66 +0000.78) | 000.1691% |
| Cluster 0010 | 0855 | (-0005.62 -0006.57 +0007.03) | 001.2680% |
| Cluster 0011 | 0658 | (+0014.75 +0008.38 +0006.87) | 000.9758% |
| Cluster 0012 | 0152 | (-0000.41 -0009.99 -0013.96) | 000.2254% |
