Molecule : 3VI3
Nb of atoms : 69060
Nb of clusters : 9
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 24333 | (+0001.08 -0001.78 -0000.12) | 035.2346% |
| Cluster 0001 | 29162 | (+0015.72 +0007.35 -0000.11) | 042.2270% |
| Cluster 0002 | 4279 | (+0001.01 +0009.82 -0000.13) | 006.1961% |
| Cluster 0003 | 3740 | (-0002.62 -0014.19 -0000.13) | 005.4156% |
| Cluster 0004 | 1065 | (-0004.44 +0008.84 -0000.13) | 001.5421% |
| Cluster 0005 | 0015 | (+0020.78 +0009.60 -0000.02) | 000.0217% |
| Cluster 0006 | 0500 | (-0008.01 -0012.01 -0000.14) | 000.7240% |
| Cluster 0007 | 0039 | (-0012.30 -0006.01 -0000.10) | 000.0565% |
| Cluster 0008 | 5927 | (+0013.70 -0007.15 -0000.11) | 008.5824% |
