Molecule : 1NUB
Nb of atoms : 13600
Nb of clusters : 8
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 6164 | (+0006.26 +0012.97 +0018.26) | 045.3235% |
| Cluster 0001 | 6072 | (+0005.60 +0014.95 +0008.14) | 044.6471% |
| Cluster 0002 | 1147 | (+0012.58 +0010.31 +0012.85) | 008.4338% |
| Cluster 0003 | 0003 | (+0013.74 +0009.87 +0011.82) | 000.0221% |
| Cluster 0004 | 0154 | (-0001.80 +0010.58 +0010.88) | 001.1324% |
| Cluster 0005 | 0041 | (+0005.18 +0012.87 -0000.92) | 000.3015% |
| Cluster 0006 | 0011 | (+0000.49 +0006.39 +0007.72) | 000.0809% |
| Cluster 0007 | 0008 | (+0001.94 +0018.60 +0017.04) | 000.0588% |
